# Backoff Power Limit Table (unit is 0.5 dBm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 2.4G Channel,CCK,,,,OFDM,,,,,,,BW20 (HT/VHT),,,,,,,,,,,,,,,,,,,BW40 (HT/VHT),,,,,,,,,,,,,,,,,,,BW80 (HT/VHT),,,,,,,,,,,,,,,,,,,BW160 (HT/VHT),,,,,,,,,,,,,,,,,,,RU26,,,,,,,,,,,,,,,,,,,,RU52,,,,,,,,,,,,,,,,,,,,RU106,,,,,,,,,,,,,,,,,,,
,BF OFF,,,,BF OFF,,,,BF ON,,,BF OFF,,,,,,,,,,,,,,,,,,,BF OFF,,,,,,,,,,,,,,,,,,,BF OFF,,,,,,,,,,,,,,,,,,,BF OFF,,,,,,,,,,,,,,,,,,,BF OFF,,,,,,,,,,BF ON,,,,,,,,,,BF OFF,,,,,,,,,,BF ON,,,,,,,,,,BF OFF,,,,,,,,,,BF ON,,,,,,,,,
Ch44,12.5,10.5,16,19,16.5,16.5,13.5,18.5,16,10,16,18,10.5,16,14.5,13,11.5,16,17.5,19.5,16.5,17.5,15,17.5,14,19,10,16,12,15.5,12.5,19,17,19,15,19,17,19.5,17,11,16,13.5,15.5,10.5,18,16.5,17,16,11,10.5,13,16.5,14,10.5,16,15,17,10.5,15.5,16.5,10,15,18.5,10.5,12,13.5,15,14,17,19,11.5,14,16.5,14,14.5,13.5,15.5,15.5,13,16,13.5,14,12,19.5,13,10.5,16.5,16.5,11.5,19,17,19.5,17.5,10,16.5,16.5,10.5,14,11,13.5,18.5,11,18.5,15.5,19,18,14.5,16.5,13.5,13,11,19,16.5,10,18.5,11,14.5,19,13,18,13,17.5,10,15.5,13.5,15,15.5,19.5,10,19.5,12,14,10,11,16,13,12,12,10,17,10,18,12.5,18,15.5,13,11
Ch48,10.5,18,16,14,12,18.5,18.5,17.5,12.5,12,18,18.5,17.5,12,18,13.5,10.5,13,12.5,14,17,12.5,14,12,10,12,15.5,10.5,10,14.5,12,16.5,14,11,14,18,17,18.5,11.5,18,15.5,15.5,18.5,16.5,13,11.5,18,17,12.5,17.5,18,10,16,11,19.5,11.5,16.5,13.5,15,15.5,10,19.5,12.5,12,18,18,11.5,18,13.5,11,11.5,14.5,19.5,12.5,13.5,19.5,11.5,10,14.5,18.5,12.5,16,11.5,14,15,16.5,19.5,10.5,17.5,11.5,15,17.5,11.5,11,15.5,11.5,18.5,14.5,11.5,18,11.5,18.5,12.5,13,13,19.5,10,14,19,16,12,11,17,14.5,17,16,10.5,16.5,10,19,19,16.5,18.5,12.5,15,14.5,16,15.5,12,11.5,18.5,10.5,19.5,11.5,10.5,15,16,13.5,19,16.5,17.5,11,10,15.5,15.5,12.5,13
Ch52,13.5,10.5,12,12.5,19.5,13.5,16,17,17.5,15.5,11,12.5,11.5,19,16,13.5,10.5,14,11.5,15,17.5,13,18,11,13,19,19,16.5,10.5,18.5,10.5,18,16.5,10.5,15,13.5,19.5,10,15.5,15,14.5,14.5,16,14.5,15.5,16.5,11,13.5,18,13,14,12.5,15.5,18.5,10,11.5,13,15.5,18,18.5,11.5,19,11,10.5,11,11.5,10.5,17.5,12,10.5,19,14,10.5,16.5,12,14,17.5,19.5,17,14,16,18.5,11,10.5,13,15,13.5,11,16,19.5,16,14,13.5,17.5,16,10.5,14.5,19,18.5,18.5,12,18,13.5,10.5,10,19,19.5,14.5,18,11,13,16,19.5,12.5,12,16,15.5,18.5,12.5,17,16,12.5,10,17,13.5,10.5,15,13,15,18,10.5,16.5,16,12,14,19.5,14,19.5,18,17,16.5,17,12,17,14,19,16
Ch56,17,17,16.5,10,13.5,17,16,14,10,11,12.5,11,17.5,12,14,13.5,11.5,11.5,18.5,18,13,11,17,17.5,16.5,16.5,18.5,13.5,10.5,12,12,19.5,16,18.5,16.5,13.5,12.5,19.5,17.5,16,14,17,10,17.5,15.5,18,19,13.5,16,14,18,15,12,17,17.5,15.5,16.5,13.5,11,10,17.5,15.5,12.5,13.5,15,19.5,17.5,10,14.5,10.5,19,18.5,18.5,10,14,11,10.5,14,18.5,13,19.5,12.5,13,11,12,11,12,13,18.5,10,15,13,15,12.5,17.5,10.5,12.5,11,18,16,12.5,19,16.5,15,10.5,14,17,13,16.5,12.5,18,12,15,13.5,17.5,19,14,17.5,16.5,14.5,10.5,15,14,18.5,13.5,11.5,16,14,12.5,16,19.5,10,15,17.5,14.5,14.5,14.5,13.5,18.5,18.5,12,14,13.5,14.5,18,19,15
Ch60,14.5,15.5,14.5,11.5,11.5,11,15.5,18.5,11,18,13,17.5,18.5,15,16,15.5,15,13,15.5,12.5,10,17.5,10.5,11.5,18.5,16.5,15,10,18,18.5,10,12,18,17.5,19,17,13.5,13.5,10.5,13.5,15,11.5,13.5,19.5,10,19,17,18,10.5,15,11,19,11.5,12,12.5,18.5,15.5,10.5,14,17.5,15.5,13.5,13.5,17.5,10.5,19.5,18,17,10,10.5,19.5,11,19,14,13,18,15,12,10.5,12.5,12,12,15,19,19,19.5,19.5,18.5,11,18,16.5,16,11,16.5,11,12,16.5,17.5,13,17.5,17.5,12.5,17,19,19.5,12,14,10,16.5,13,14.5,16,14.5,19.5,11,10.5,12,15.5,16.5,19,15.5,11,19.5,17,12,11,18.5,11,12,14.5,14.5,18,12,17,18,17.5,13,15,10,13.5,12.5,12,19.5,10,13,19.5,18.5
Ch64,17.5,18.5,12.5,18,12,12.5,18.5,13.5,10.5,16,16.5,17.5,12.5,19,10,16.5,10.5,18.5,14.5,10.5,15,14,15.5,18,19,14.5,16,15.5,10,13,16,14,14.5,12,11,16.5,18.5,13,15.5,19.5,10.5,16,15,15.5,15.5,12.5,18.5,11,14.5,14.5,12,10.5,18.5,19,19,15,11.5,13,10.5,17.5,19.5,12.5,16,17.5,17,15.5,19.5,15.5,16.5,11,14.5,13.5,15.5,10.5,14,16,12,15,14.5,17,12.5,18.5,17.5,10,12.5,11,16,12.5,12.5,15,11.5,16,11,18,17.5,13.5,10.5,11.5,14.5,17,16,12.5,18,12.5,11.5,12.5,11.5,19,18,16,18,15.5,16.5,14,19,16,16,12,17.5,19,13.5,16,14.5,13.5,15,17.5,14.5,17.5,16,17,16.5,14.5,12.5,13,11.5,13,18.5,16.5,19.5,14,16,12.5,16,17.5,19,15,15
Ch68,13,13.5,19.5,14,16,18,14.5,13,12,10.5,15,15,11,19,11,13,14.5,15.5,10,14,14,12,12.5,19.5,13.5,11,12,13,16.5,12.5,10,13,17.5,10.5,10.5,17.5,11.5,15.5,19.5,13.5,19,12.5,16,14.5,15,10,14.5,19.5,13.5,18,10,19.5,15,16.5,18.5,10,18,11.5,17,19,18.5,14.5,19.5,11.5,17.5,11,16.5,12,12,18,15,17.5,14,17,14,11.5,14.5,18,11,14.5,15.5,11,14.5,17.5,10.5,17.5,16.5,16,12,14,12.5,13.5,11,10,19.5,14.5,15.5,14.5,19,13.5,16,19,13.5,14,17,15,19,17,10.5,15,13,16,11,16,13.5,12,14,19,12.5,13,12,11.5,14,19,18.5,16.5,12.5,13,12.5,18.5,16.5,18,11,10,11.5,17.5,16.5,18,17,14,12.5,19.5,17,18.5,16,11,14.5
Ch72,19.5,18,12.5,19,18.5,18,13.5,12.5,11,19,14.5,17.5,11,14.5,18,14.5,10.5,19.5,11.5,19.5,18.5,12,13.5,19,13.5,16,13.5,15,17.5,10,16,17,14,12,13.5,15.5,13.5,12,11,13,11.5,14.5,18.5,16.5,10,10.5,13,16,10,13.5,19.5,16,14,19.5,13.5,16,10,14.5,13.5,18.5,18.5,18.5,18,13.5,18.5,14.5,10,15,17.5,18.5,13.5,13.5,19,18.5,14.5,19,18.5,13.5,16.5,15,10,11,18,13.5,16.5,15.5,11,16.5,10.5,10.5,19.5,16,13,17.5,18,14,15.5,10.5,12,15.5,18,11.5,13,10.5,19,10.5,19,14.5,10,15.5,18,14,13,14.5,16.5,15,17,17,11,16,11,13,13.5,11,16,16.5,12,11.5,19,17.5,11.5,19,18.5,13.5,14.5,14,15.5,13.5,10.5,12.5,17.5,12.5,12,15.5,13.5,11.5,12.5
Ch76,16,19.5,18,12,14,10,12,10.5,13,18.5,15.5,18.5,19.5,13,19.5,14,10.5,10.5,10,16,13.5,13,14.5,13,17.5,14,11,12.5,14.5,14,11.5,11,19.5,16.5,11,15.5,16.5,19.5,11,10,17.5,13,13,16.5,12,10,11,18,15.5,16.5,15.5,19.5,10,13,12,18,12,11,12.5,19.5,18.5,17,14,10.5,17,15,18.5,19,12,18.5,10,11.5,18,17,15.5,18,19,12,11,11,11,10,19,16.5,19,19,11,16,13,14,17,12,10,12.5,19.5,19.5,16.5,18.5,10,10,17.5,15,11.5,10,13,10.5,16,11.5,15.5,10,16.5,16,14,17,12.5,12.5,11,17.5,17,18.5,14,10,16,15,15,18,17.5,13.5,14.5,17.5,10.5,14,11,16,18.5,12,15.5,19,18,12.5,17,11.5,12,14.5,15.5,16.5,18.5
Ch80,11.5,11.5,16,10,17,19.5,17,19.5,17.5,16.5,10,18.5,10.5,18,11.5,10,10.5,12,19.5,16,16,12.5,12.5,12.5,15.5,11,16,19.5,15.5,14.5,19,19.5,16,15,15,13.5,19.5,17,18.5,16.5,19.5,10.5,15.5,12,18,17,10.5,16.5,16.5,17,18.5,13,13,10.5,19.5,19,12.5,14.5,18,18.5,11,12,16,13.5,18,16.5,16,19,13.5,12.5,13,17,18.5,17.5,18.5,17.5,19,17,13,15.5,11.5,15,14.5,10,19,14.5,13.5,11,13.5,14.5,14,12.5,12,16,15,17,11,11,15.5,17.5,12,19.5,19,19,12.5,19.5,12.5,17,16,17.5,11.5,19,11.5,11.5,10.5,11.5,15.5,11,16,16,11.5,15,15,10.5,16.5,18.5,14,12,13.5,18.5,14,10,10,11,12.5,18,12,15.5,18,13.5,18,19.5,10,17,13,15.5,13
Ch84,16.5,14.5,10.5,10.5,15.5,19,11.5,17,10,14.5,13.5,19.5,19.5,14.5,10,11.5,14.5,11.5,19,19.5,13,18,19.5,12.5,19.5,14.5,11.5,13.5,16.5,16.5,10,12.5,18.5,11.5,16,16.5,13.5,10.5,14,16.5,18.5,19.5,18,17,13,19,15.5,16.5,10,19.5,17,17,14,15.5,19.5,18.5,16,11.5,11.5,14.5,16.5,12.5,16,13.5,17.5,15,10.5,10.5,10.5,10.5,10.5,15.5,15.5,11,17,18,16.5,13,14.5,15,17.5,15,13,17,10,17,17,19.5,18,18,15.5,19.5,10.5,19,10.5,19,18.5,11,18.5,11.5,16.5,13.5,19.5,16,14,17,12.5,18.5,14,12,13.5,19,13,16,11.5,13.5,10.5,13.5,11.5,15,16,19.5,12.5,17.5,18,18,14,16,15,11,11,10.5,18.5,18.5,14.5,19.5,17.5,17,16,18.5,16,10.5,18.5,13,15,17.5,15
Ch88,10,13.5,10.5,15.5,19.5,11.5,15.5,15,18,16.5,12.5,16.5,19.5,14,19,16.5,12.5,14.5,15,17.5,19.5,19.5,15.5,10.5,14,11.5,11,18.5,15,18.5,14,15,12,17.5,11.5,15,11,19.5,18.5,10.5,18.5,17,10,16.5,11,17.5,10,10,18,16,18,10.5,11,14,18,12,10.5,15,14,15,10,16.5,15,11,10.5,15,14.5,15.5,14.5,14,14.5,10.5,12.5,12.5,16.5,15.5,10.5,14.5,10,10.5,11.5,11,18.5,17.5,17,13.5,19,12.5,10.5,13.5,13,13,17,16,11,10,13.5,18.5,16,15.5,19,19.5,13,12,16.5,15,12,15.5,13.5,10.5,16,14,10,18,11,13,18,10.5,10.5,17.5,17.5,16,11,16,12,13.5,14.5,14.5,14,17.5,13,16,11.5,19.5,12,14.5,11.5,19,19.5,16,11.5,17,13.5,18.5,10.5,11,13
Ch92,15.5,14.5,13,11.5,10,10,19.5,17,12.5,16.5,19,11.5,15,13.5,19,18,11.5,11,13,12.5,11,14,16.5,16.5,12.5,19.5,13,14,10,18.5,16.5,15,17,15,16.5,18.5,16,13,19.5,15,10.5,18.5,17.5,16,19.5,12,14.5,13.5,16,18.5,13,18.5,10.5,14,18,17.5,16.5,19.5,14.5,14,12,10,15.5,10,17,19.5,10,13.5,13,15.5,15.5,17,16,11.5,10.5,14.5,11.5,10.5,14.5,16,15.5,10.5,14.5,15,16,12.5,12.5,16,19,18.5,11,11.5,15.5,19.5,14,15,16.5,13.5,11,19,11.5,12.5,14,17.5,19.5,14,10.5,11,14.5,19.5,14.5,10.5,15,18,18,14,18.5,15,12,10,19.5,14.5,12,16.5,19,18,14,19.5,17.5,11.5,14,16.5,12,10,18.5,19,16.5,12.5,14,14,19,12.5,17,17,12,10,17.5
Ch96,13,16,19.5,14,10.5,12.5,11.5,17,19.5,17.5,10.5,14,18.5,12.5,19.5,14,10.5,13.5,11.5,19.5,10.5,12,12,15,19,14,19,16.5,15.5,19.5,16.5,10,14,19,10,14.5,16.5,15.5,12,12,10,18,12.5,18,11,14.5,12,19.5,10,16,15.5,15.5,10,16.5,15.5,17,18.5,18.5,10,19,15.5,12.5,11.5,11,19,13.5,16,14,10.5,10,14,17,12.5,19.5,12.5,10,16,10,11.5,17.5,16,17,13,16,13.5,15,18.5,12.5,18,19.5,19.5,14,16,14.5,11.5,12,17,15.5,10,11,14,15,18.5,10,12,17.5,12,19.5,14,12.5,16.5,15.5,17.5,18.5,11,15,17,14.5,15,19.5,10,16.5,17.5,17,10.5,11,19.5,14,11,17.5,10,12,16.5,19,18,10.5,16.5,11.5,10.5,10,19,12.5,19,19,11.5,11,11.5
Ch100,10,12,10,18.5,15,15,15,19.5,13.5,19.5,13,16.5,15.5,14.5,15,17,17.5,19.5,10.5,15.5,16,12.5,10,16,17,10,18.5,12.5,14,14.5,17,17,13,18.5,12,17.5,17.5,10.5,14,16,13.5,18,16.5,15.5,16,10,13,10,18.5,11.5,11,17.5,13,10.5,12.5,18,16,17.5,10.5,18,16,11.5,12.5,15,16,15.5,18,16,10,17.5,13,17,19,11,15.5,14,18,11.5,12.5,12,13.5,19.5,16,15.5,19.5,11.5,18,13.5,12.5,14,18.5,10.5,16,16.5,12,17.5,10,15.5,12,10.5,19,14,13,12,10,18.5,17,16,12.5,11,15.5,19.5,13,14,13,12,17.5,16,14.5,11,15.5,18.5,14,11.5,11,14.5,19.5,17,18,12,13,14,16.5,10,14.5,15,12.5,17,12,13,18.5,18.5,10,12.5,13.5,15,19.5
Ch104,14,13,16.5,13,14.5,13.5,14,13.5,18,12,19,19,14.5,19,10.5,12.5,17,13.5,14,19,10,17.5,16,12.5,12,16,15,13,14,15.5,13.5,15.5,11.5,16,12,17.5,18.5,11.5,13.5,18.5,19,16.5,13.5,16.5,16.5,16.5,15,15.5,14,16.5,10,14,16,19.5,13,12.5,17,14.5,11,10,14,11.5,17,17.5,12.5,17,10,18.5,15.5,11.5,16.5,14.5,18,14.5,10.5,10,18.5,19,14,12,10.5,12.5,16,12,14.5,10,12.5,14,18.5,18.5,16,12,11.5,14.5,11.5,14,14.5,10.5,14,10,11,17.5,17.5,10.5,19,15,18.5,14,11,12.5,13,18,14.5,19,19,10,13,13.5,18,18,14.5,12,12,12,12,17.5,13,16,13,16.5,15,15,13.5,17,13.5,10.5,16,19.5,16.5,11.5,12,12.5,13.5,11,17.5,13.5,10.5
Ch108,19.5,12,16.5,16,18,14.5,16,11,15.5,10,16.5,11,15.5,15.5,17.5,19,19,17.5,10,16.5,18.5,10,17.5,15,18,18,16,13,16.5,18,18,14.5,10,16,11,17,10.5,15,11,12.5,15,15,12.5,15.5,14,18.5,17.5,11,16,11,12.5,16,19,13.5,12.5,19,10.5,13,13.5,14,12,16.5,19.5,13,16,16,16.5,15.5,14,19,10,13,18,10.5,12.5,13.5,14,14.5,11.5,13.5,12,19,14.5,12.5,19,10.5,15,19,15.5,16,13.5,18.5,10,16.5,14.5,16,14,10.5,11.5,13,11,16,13,13.5,14.5,15.5,12.5,12.5,19,12.5,10.5,18.5,15,13,14,17.5,15,11,19.5,11.5,18,17,12,13,10.5,17.5,10,10.5,18.5,18.5,12,18,11,12,19,15.5,16,14.5,12,19.5,15,18.5,18,11.5,10,11,10
Ch112,15.5,10.5,17.5,17.5,15.5,18.5,10.5,18,18,11.5,18.5,13,18,13,16,15,13.5,13,16,11.5,15.5,11,11,18.5,11.5,12,16.5,19.5,13.5,19.5,17.5,10.5,15.5,10,10,10,14,10.5,13.5,14.5,18.5,14,18.5,19,13.5,10.5,14,10.5,14,14,11,14,10.5,11,13,15,19,15,10.5,10,12.5,18.5,18.5,10,11.5,12,13,19,18,18.5,13,15,18,10.5,10.5,16.5,13.5,18,10,19.5,16.5,19,12.5,13,18,17.5,15,15.5,13.5,10.5,11,10,13.5,10,12.5,12,10.5,18.5,14,18,15,11.5,12.5,18.5,13.5,17.5,17,13.5,16,19,19,12.5,12,17,12,14.5,18.5,19,18.5,19.5,17.5,11,15.5,16,19.5,14,10.5,12,15.5,18.5,15,15.5,16,16,16,16,14,10,18.5,11,13.5,12.5,11,16,13.5,14,15
Ch116,15,12,17,10.5,15,11.5,17.5,19,10,15,19,13.5,16,15,11.5,14,19.5,15,11.5,11,14.5,19,12,13.5,11,18,17.5,13,17.5,16,16.5,13.5,12,13.5,10,14.5,11,10,17.5,19,16.5,15.5,11.5,15.5,18.5,13,14,12.5,11,19.5,18,18.5,14.5,17,10.5,16.5,17.5,19,11,15,15,14.5,12.5,17.5,13.5,17.5,17.5,16,16,14,10,15,12.5,13,18.5,13.5,10.5,15.5,18.5,16,15.5,19,13,19.5,17.5,12.5,13,11.5,17.5,11.5,12.5,18,18,12.5,10,18.5,14.5,16,17,18,12.5,12.5,18,17,18,16,19,11.5,17.5,18,15,14,13.5,19,17.5,17,19.5,18,14.5,11,15,14,18.5,16,15.5,16,17,13,15.5,12.5,14.5,15.5,11.5,14.5,17,18.5,15,13.5,19,19.5,17.5,13,19.5,13,13,10.5,13.5
Ch120,11,17,12,12,19,10.5,10,19.5,11,17.5,14,12.5,14,14.5,18.5,18,18.5,11.5,13.5,13,18,10.5,11,11,16,11.5,15.5,10.5,12.5,11.5,14,18.5,11.5,12,18.5,12,18.5,13.5,17,13.5,15.5,19.5,19,16.5,18.5,14,14,10.5,17.5,15.5,18.5,10,11.5,13.5,13,11,13.5,11,18.5,18,15.5,11,10.5,14.5,12.5,14,11,14,12,10,18,16,19.5,12.5,14,18,16,11.5,15,10,10,14.5,16.5,18,19,19,15.5,18,12.5,17.5,13.5,18,14.5,14,16.5,13.5,12,16,13,11,10.5,16.5,17,17.5,18.5,19,14,11,14,14.5,12.5,19.5,11,16,16.5,15,17.5,17.5,17.5,13.5,10,12,18.5,11.5,14,14,18,15.5,19.5,10.5,17.5,17.5,13.5,14.5,14.5,11,14,12.5,12.5,12.5,14.5,11.5,13,15,18,19,13.5
Ch124,14,10.5,10,18,13,18.5,16.5,14,11,13,16.5,10.5,17.5,10.5,17,14,11.5,18,17,18,10.5,10,13,12,12.5,19,12.5,10.5,14,13.5,17,13,15.5,11,17.5,10,10.5,19,17.5,16,12,13.5,15.5,11,12.5,11,10.5,10.5,14.5,19.5,14,18.5,13.5,16.5,17,12.5,16,12.5,16,11,10.5,12,13,13.5,10.5,10.5,14.5,15,12.5,10.5,14.5,18,13,13,13.5,14.5,14,12.5,17.5,11.5,18,18,15.5,12.5,18,15,17.5,15,15.5,14,17.5,19.5,10,19.5,13.5,16,12.5,17,17,14,10,15.5,11,10,17.5,17,19.5,16,12,14,17.5,13,18.5,18.5,15.5,12.5,16.5,15,11,14,10,12.5,17,11.5,15,16.5,12.5,16,13,15.5,12,18,12.5,18,11.5,19,11,14,16,14.5,18.5,10,12.5,11.5,10.5,13.5,15.5
Ch128,10,14,17.5,15.5,18.5,12,14.5,18.5,10,16,15,10,13.5,17,14.5,12.5,15.5,19.5,11.5,19.5,11.5,13.5,13,19.5,18,19.5,11.5,14.5,13,15,11.5,16,13.5,10,15,16,15.5,10,19.5,12.5,17.5,12,13.5,18.5,11.5,19.5,14.5,16.5,13,13,16,18,12,17,10,19.5,10,16.5,19,10.5,14,18.5,18.5,12.5,15.5,16.5,15,11,14.5,11.5,19,10.5,15.5,14,10.5,12,10,17,11.5,12.5,17,10,19.5,18.5,12.5,11,13,12,18,13.5,18.5,14.5,14,12,12,12.5,11.5,12.5,14.5,13.5,18,10.5,10,12,10,10.5,12.5,14,19.5,19,17.5,12.5,12.5,10,14.5,16.5,19,15.5,17.5,16,16,11.5,14.5,17,16,16.5,11.5,14,10.5,12,16,10,19,18.5,11,13.5,18.5,17,18,14.5,18.5,12,17,12.5,15.5,18,18
Ch132,14,16.5,17.5,13,19,15.5,18,16,10,14.5,10.5,15,11,19,16,19,11.5,11.5,16,14.5,15.5,15,16,19,19,15,11.5,19,17.5,11.5,19,16,19.5,14.5,18,13.5,14,19,18,12,11.5,10.5,10.5,13,12,15,10.5,10,19,15.5,11.5,18,19.5,14,14,17,15,10,15.5,14,16.5,19,10.5,15,18,14.5,10,10.5,14.5,16,18.5,19.5,13,14,15,18.5,10.5,17.5,17,10,12,10,16.5,11.5,19,13,12.5,17,16.5,16,18,14.5,14.5,13.5,11,14,14.5,16.5,19.5,12,17,14.5,11,12,11.5,11,16,14.5,13,11,10.5,17.5,11.5,19.5,16.5,13,14.5,10.5,13.5,18.5,11.5,19.5,14,12,15,19.5,18,10.5,12,17,10.5,18,10,19.5,10.5,14,18,13,10.5,13.5,16,12.5,15.5,18,13.5,11.5,14
Ch136,12,12,13.5,19,15.5,10,13,13.5,15.5,19.5,18,14.5,18,18.5,19,16.5,14.5,14.5,11.5,14,11.5,19.5,14.5,12.5,15,18,19.5,17,12,17.5,14.5,17.5,10,16,16.5,15.5,10,18.5,18.5,14,14,15,13,16,10.5,18,17,10.5,13.5,16,16.5,14.5,14,17,12.5,15.5,10.5,18,16.5,15.5,13.5,15,12.5,14,11,16.5,16,16.5,16.5,18.5,15,13.5,17.5,17.5,12.5,18,12.5,19.5,11,15,13.5,15,15.5,17,18,17,13.5,19.5,11.5,17,18,13.5,19.5,11.5,10.5,12,11,12,17.5,16.5,19,17.5,16.5,12,10,13,13.5,11.5,14,14,16,18.5,14,17,11,16.5,14,13.5,17,10,14,15.5,14,13,15,19.5,15.5,18.5,10,10.5,12.5,14,12,11.5,17.5,18,14,17.5,17.5,15,16.5,13,12.5,15,19,12.5,10.5
Ch140,17,18.5,12,17.5,12,12,13,16.5,14.5,10.5,15.5,12.5,18,14.5,14.5,12,17,11.5,13.5,16,19,16,17,16.5,11,18.5,10,13.5,18.5,17.5,12.5,13,14,16,11.5,19,14,11,19.5,11.5,11.5,18.5,19.5,18,12,12,14,15.5,15,17,10.5,19,18.5,14,12.5,14,13,16.5,15.5,15.5,14,14.5,13,15.5,19,11.5,17,17,10,18.5,16.5,19,13.5,12.5,15.5,15,11.5,14,16,14.5,10,16,15,13.5,16,12,13,11,15,12.5,14.5,16.5,11,13.5,12,14.5,15.5,11.5,13,10.5,13.5,15.5,17,13,17.5,16,11,17,15.5,12.5,15.5,16.5,12,11,17.5,16,14,13,14,19.5,17.5,13.5,11.5,17,12,19,19.5,12.5,12,17,17.5,17,12.5,19.5,16.5,10.5,18.5,19.5,10,11,18.5,16,16,12,10.5,18.5,17
Ch144,15,15.5,11,18.5,14,15,10.5,11.5,10.5,13.5,16,16,17.5,10.5,18,17,12.5,13,18,11.5,15,13,19.5,15.5,12.5,11.5,13.5,10,14,11.5,19,18,19.5,12.5,13.5,18,16,13,11,12,19.5,10.5,18,15,18.5,14,15,18.5,13,15.5,17.5,14,14,15.5,19.5,16,12.5,15,18,16.5,18,19,16.5,17.5,15,13.5,19,12,12,17,10.5,11.5,13,12,13.5,12,12,17.5,13,10.5,15.5,17.5,14,14.5,16,14,19,13,11.5,16.5,19.5,18,14,12,18,12,15,10.5,15.5,12.5,11.5,11,11.5,17.5,18.5,13,18.5,18,11.5,10,15.5,14,19.5,12,16,18.5,11.5,15.5,14.5,13.5,14,17.5,16,12.5,15.5,11,13,19,10.5,11.5,19.5,17,14.5,18,18,10.5,11.5,17.5,19.5,15,13,14,16,11.5,16,19,10.5
Ch149,14.5,15.5,15.5,14.5,14,13,12.5,18,19.5,14.5,15,14,15.5,17.5,15.5,13.5,15.5,12.5,14,10.5,13.5,19,15.5,10,11.5,13,15.5,16,14,10,15.5,11,18,10.5,19,15,10,10,11.5,18,10.5,13,13.5,10.5,19,13,12.5,18,12.5,12.5,14,14,12,19,16,17,19,17.5,15.5,10,18,15.5,18.5,17.5,11,15.5,19,12,14.5,12,13.5,16,12,17.5,18,16.5,17.5,16,15.5,11.5,10.5,18,15.5,15.5,18,18,11.5,16,14.5,18.5,13,16,12.5,15,13,16.5,17.5,16.5,13.5,10,17,10.5,16,19.5,12,13,16.5,13,17.5,13,15,19.5,18,15.5,15.5,19,11.5,17,17,16.5,16.5,14.5,15,10,12.5,14.5,12,14,15.5,10,16.5,10.5,10,15.5,12,18.5,17,16.5,11,17,18,19.5,13.5,13,17,11,15
Ch153,19,13.5,15.5,16.5,18,14,13,12,17.5,13,13.5,13,13.5,16,14,12,15.5,12.5,12,17,16.5,19.5,17,12.5,15.5,10,16,14,18,11.5,18,13,10.5,11.5,19.5,17,10,16,14,14.5,13,18.5,16.5,14.5,10,16.5,14.5,12,14.5,19.5,15.5,13,19,11.5,17,19,16.5,18.5,16.5,13,14,17.5,16,16,14,16,17,10.5,13.5,19.5,13.5,10.5,10,11,10,16,15.5,17,10,17,18.5,12,12,16,12,11,16,19,10,14.5,18,10.5,15.5,12,17.5,13.5,16.5,14,10.5,13,18,10.5,17.5,19,12.5,12,15.5,13,13,13,15.5,16,15.5,14.5,11,17.5,12.5,16,17,15.5,16.5,13.5,17,15.5,18.5,15,12,17,12.5,16,10,19,13,10.5,11.5,19,14.5,15.5,19.5,14.5,17.5,10,12,13,17.5,16,11.5
Ch157,17,14,17.5,18.5,16.5,16,14,12,12,14.5,12,13,19.5,14,12,17,10.5,13.5,18.5,18,14.5,11.5,11,15.5,15,12,12,14.5,13.5,13,10,16.5,19.5,15,15,19,12,11.5,19.5,13.5,17.5,12,10.5,11.5,17.5,16,13,17.5,13.5,18,11,19,12.5,14,12.5,14,15,19.5,12,19,13.5,11.5,15,14.5,17,14.5,15.5,15.5,10,13,13,13,18,19,13,17.5,11.5,10.5,11,11.5,11.5,15.5,14.5,15,19,13,14,18.5,18.5,19.5,10.5,10.5,14.5,13.5,14.5,12.5,12,17,11.5,16.5,17.5,13.5,12.5,10,19.5,14.5,19,14,14,13.5,13,11.5,12.5,17.5,17,10,18.5,18.5,14,14,12,17,14.5,17,13.5,19.5,14.5,19.5,10.5,15.5,18.5,18.5,13.5,17.5,10.5,19,14,12,10.5,10.5,18.5,19,19.5,12,18.5,17,12
Ch161,14.5,11,13.5,19,11.5,19,16,19,14,18,12,13,13.5,11,13,15.5,15.5,18,16.5,19,12.5,17,14.5,14.5,12,11.5,16.5,18,19.5,14.5,14,10,11.5,18.5,13.5,11,15,11.5,17,10,17.5,17,19,12,13,18.5,14.5,17.5,11,17.5,19.5,11,13,17.5,11.5,19.5,15.5,10.5,10.5,15,17,10,17,11,14.5,10,19,14,14,18.5,19,17.5,18,16,14,17,14,15.5,17,19.5,19,12.5,14,15.5,11.5,15,14,12.5,13.5,13,11,15,18.5,15,17.5,19.5,17,14,13,18,17,11.5,17,11,17,11.5,16,15,19,13,18.5,12.5,10.5,19.5,10,11.5,14,15,11.5,17,11,19.5,17.5,16,15.5,19,10,19.5,15,17,19.5,12,17.5,10,12.5,16.5,16.5,19.5,17.5,10.5,15.5,11,13,18,18,18.5,11
